,true_value,predicted_value
2020-07-05,217.0,252.26181
2020-07-08,185.0,268.21402
2020-07-11,168.0,245.48064
2020-07-14,145.0,224.57562
2020-07-17,143.0,200.44353
2020-07-20,129.0,181.25412
2020-07-23,111.0,160.15393
2020-07-26,92.0,135.54434
2020-07-29,87.0,118.92841
2020-08-01,92.0,113.31808
2020-08-04,76.0,94.831535
2020-08-07,67.0,85.628975
2020-08-10,70.0,89.55864
2020-08-13,75.0,83.55355
2020-08-16,78.0,97.53972
2020-08-19,70.0,81.16539
2020-08-22,71.0,78.48033
2020-08-25,68.0,75.95163
2020-08-28,60.0,86.6587
2020-08-31,71.0,129.92273
2020-09-03,76.0,83.34262
2020-09-06,69.0,100.516495
2020-09-09,80.0,102.053154
2020-09-12,86.0,104.324196
2020-09-15,115.0,91.13002
2020-09-18,138.0,149.03056
2020-09-21,181.0,145.68121
2020-09-24,243.0,151.75238
2020-09-27,276.0,178.93788
2020-09-30,333.0,238.33926
2020-10-03,369.0,215.92155
2020-10-06,410.0,362.9758
2020-10-09,440.0,317.37985
2020-10-12,507.0,402.79025
2020-10-15,581.0,428.7388
2020-10-18,630.0,466.1436
2020-10-21,712.0,539.9953
2020-10-24,788.0,606.2123
2020-10-27,903.0,564.2749
2020-10-30,979.0,637.1552
2020-11-02,1075.0,800.55786
2020-11-05,1183.0,804.3407
2020-11-08,1232.0,913.15106
2020-11-11,1268.0,1109.2596
2020-11-14,1365.0,1147.6539
2020-11-17,1420.0,1233.2266
2020-11-20,1422.0,1299.2279
2020-11-23,1487.0,1344.4313
2020-11-26,1456.0,1405.3463
2020-11-29,1387.0,1132.6434
2020-12-02,1315.0,1286.8391
2020-12-05,1247.0,1391.1787
2020-12-08,1272.0,1386.2802
2020-12-11,1275.0,1287.5493
2020-12-14,1288.0,1353.2942
2020-12-17,1366.0,1324.5831
2020-12-20,1442.0,1266.666
2020-12-23,1554.0,1345.3784
2020-12-26,1682.0,1431.9022
2020-12-29,1939.0,1493.8718
2021-01-01,2162.0,1506.1113
2021-01-04,2560.0,1659.8601
2021-01-07,2929.0,1879.3452
2021-01-10,3264.0,2188.3347
2021-01-13,3626.0,2444.8765
2021-01-16,3854.0,2912.3677
2021-01-19,3947.0,3403.5195
2021-01-22,4076.0,3559.169
2021-01-25,4032.0,3842.0215
2021-01-28,3918.0,3546.1328
2021-01-31,3687.0,3534.6965
2021-02-03,3628.0,3374.1277
2021-02-06,3373.0,3170.1921
2021-02-09,3164.0,2839.6023
2021-02-12,2943.0,2790.7625
2021-02-15,2805.0,2580.2825
2021-02-18,2535.0,2316.4434
2021-02-21,2329.0,2108.217
2021-02-24,2118.0,2173.2305
2021-02-27,1903.0,1752.7422
2021-03-02,1709.0,2092.0798
2021-03-05,1542.0,1626.5713
2021-03-08,1356.0,1641.6738
2021-03-11,1192.0,1362.11
2021-03-14,1049.0,1085.6199
2021-03-17,925.0,1108.7153
2021-03-20,787.0,935.4463
2021-03-23,711.0,932.1286
2021-03-26,615.0,862.0252
2021-03-29,583.0,663.9128
2021-04-01,517.0,267.80615
2021-04-04,469.0,559.0454
2021-04-07,440.0,433.10873
2021-04-10,385.0,403.3334
2021-04-13,370.0,417.31226
2021-04-16,332.0,371.69937
2021-04-19,318.0,354.11945
2021-04-22,261.0,324.35742
2021-04-25,231.0,362.8682
2021-04-28,208.0,264.11566
2021-05-01,188.0,277.77997
2021-05-04,181.0,249.95868
2021-05-07,159.0,175.49574
2021-05-10,149.0,207.11348
2021-05-13,129.0,193.75069
2021-05-16,123.0,214.82784
2021-05-19,122.0,201.6825
2021-05-22,123.0,162.10506
2021-05-25,128.0,120.07134
2021-05-28,124.0,207.3916
2021-05-31,122.0,127.21861
2021-06-03,134.0,141.96237
2021-06-06,145.0,143.77078
2021-06-09,159.0,188.39688
2021-06-12,169.0,144.7889
2021-06-15,206.0,160.68277
2021-06-18,223.0,194.99509
2021-06-21,228.0,247.29893
2021-06-24,259.0,228.28201
2021-06-27,263.0,276.55334
2021-06-30,287.0,307.32852
2021-07-03,327.0,296.8159
2021-07-06,392.0,425.39832
2021-07-09,437.0,424.52408
2021-07-12,482.0,476.82077
2021-07-15,551.0,501.45627
2021-07-18,582.0,680.44257
2021-07-21,647.0,615.66626
2021-07-24,755.0,987.5401
2021-07-27,848.0,750.9253
2021-07-30,889.0,980.01196
2021-08-02,895.0,806.0351
2021-08-05,871.0,938.84674
2021-08-08,856.0,812.98334
2021-08-11,871.0,869.62427
2021-08-14,892.0,977.1588
2021-08-17,925.0,837.1531
2021-08-20,955.0,806.1987
2021-08-23,942.0,1026.7639
2021-08-26,982.0,919.39124
2021-08-29,971.0,971.7615
2021-09-01,1030.0,984.2739
2021-09-04,1019.0,964.27545
2021-09-07,1047.0,903.71313
2021-09-10,1056.0,1030.4565
2021-09-13,1056.0,1122.9613
2021-09-16,1020.0,1284.9984
