date,covidOccupiedMVBeds,hospitalCases,newAdmissions,newPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,newDailyNsoDeathsByDeathDate,newCasesBySpecimenDate,newVirusTestsBySpecimenDate,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-01,652.0,7171.0,605.0,0.0,0.0,0.0,0.0,199.0,1439.0,51462.0,-56.0,-13.0,74.0,-51.0,-53.0,19.0
2020-06-02,636.0,7014.0,666.0,0.0,0.0,0.0,0.0,233.0,1492.0,63137.0,-59.0,-15.0,78.0,-51.0,-54.0,19.0
2020-06-03,602.0,6750.0,632.0,0.0,0.0,0.0,0.0,203.0,1369.0,67930.0,-62.0,-19.0,0.0,-57.0,-54.0,22.0
2020-06-04,571.0,6525.0,562.0,0.0,0.0,0.0,0.0,183.0,1249.0,65373.0,-61.0,-17.0,19.0,-56.0,-54.0,22.0
2020-06-05,554.0,6325.0,472.0,0.0,0.0,0.0,0.0,184.0,1123.0,70327.0,-63.0,-17.0,9.0,-56.0,-53.0,22.0
2020-06-06,540.0,6097.0,406.0,0.0,0.0,0.0,0.0,151.0,804.0,59031.0,-70.0,-22.0,-17.0,-57.0,-33.0,14.0
2020-06-07,515.0,5892.0,405.0,0.0,0.0,0.0,0.0,163.0,722.0,55399.0,-67.0,-23.0,22.0,-51.0,-28.0,10.0
2020-06-08,509.0,5879.0,410.0,0.0,0.0,0.0,0.0,161.0,1099.0,52789.0,-56.0,-17.0,44.0,-54.0,-52.0,19.0
2020-06-09,491.0,5684.0,487.0,0.0,0.0,0.0,0.0,137.0,1165.0,65734.0,-58.0,-17.0,56.0,-53.0,-52.0,20.0
2020-06-10,439.0,5423.0,506.0,0.0,0.0,0.0,0.0,166.0,1196.0,67832.0,-61.0,-19.0,-1.0,-58.0,-52.0,21.0
2020-06-11,390.0,5132.0,442.0,0.0,0.0,0.0,0.0,121.0,1013.0,67625.0,-59.0,-17.0,15.0,-58.0,-52.0,21.0
2020-06-12,393.0,5045.0,392.0,0.0,0.0,0.0,0.0,135.0,1053.0,68079.0,-61.0,-17.0,6.0,-57.0,-51.0,21.0
2020-06-13,390.0,4898.0,385.0,0.0,0.0,0.0,0.0,101.0,886.0,61412.0,-65.0,-17.0,41.0,-49.0,-24.0,11.0
2020-06-14,393.0,4866.0,364.0,0.0,0.0,0.0,0.0,136.0,826.0,44509.0,-63.0,-20.0,65.0,-46.0,-19.0,8.0
2020-06-15,385.0,4829.0,439.0,0.0,0.0,0.0,0.0,107.0,1045.0,57884.0,-46.0,-14.0,63.0,-50.0,-50.0,18.0
2020-06-16,378.0,4825.0,454.0,0.0,0.0,0.0,0.0,120.0,1103.0,59078.0,-50.0,-13.0,53.0,-51.0,-50.0,19.0
2020-06-17,357.0,4687.0,430.0,0.0,0.0,0.0,0.0,105.0,1017.0,58435.0,-52.0,-14.0,34.0,-52.0,-50.0,19.0
2020-06-18,352.0,4530.0,401.0,0.0,0.0,0.0,0.0,89.0,1022.0,57969.0,-54.0,-15.0,8.0,-56.0,-52.0,20.0
2020-06-19,330.0,4389.0,337.0,0.0,0.0,0.0,0.0,88.0,993.0,61661.0,-53.0,-11.0,20.0,-52.0,-50.0,19.0
2020-06-20,346.0,4225.0,254.0,0.0,0.0,0.0,0.0,87.0,683.0,49129.0,-57.0,-10.0,49.0,-43.0,-20.0,9.0
2020-06-21,310.0,4192.0,285.0,0.0,0.0,0.0,0.0,80.0,636.0,38717.0,-58.0,-17.0,37.0,-44.0,-14.0,7.0
2020-06-22,340.0,4251.0,391.0,0.0,0.0,0.0,0.0,83.0,899.0,46824.0,-45.0,-13.0,72.0,-49.0,-51.0,17.0
2020-06-23,311.0,4103.0,359.0,0.0,0.0,0.0,0.0,97.0,883.0,59620.0,-48.0,-10.0,90.0,-48.0,-51.0,17.0
2020-06-24,316.0,4003.0,366.0,0.0,0.0,0.0,0.0,101.0,777.0,58020.0,-49.0,-8.0,98.0,-47.0,-49.0,17.0
2020-06-25,276.0,3820.0,322.0,0.0,0.0,0.0,0.0,108.0,726.0,57361.0,-49.0,-6.0,102.0,-47.0,-49.0,17.0
2020-06-26,268.0,3596.0,337.0,0.0,0.0,0.0,0.0,79.0,666.0,59309.0,-51.0,-9.0,50.0,-48.0,-49.0,18.0
2020-06-27,270.0,3523.0,286.0,0.0,0.0,0.0,0.0,73.0,653.0,53249.0,-59.0,-15.0,-7.0,-49.0,-24.0,11.0
2020-06-28,270.0,3535.0,207.0,0.0,0.0,0.0,0.0,70.0,449.0,43442.0,-56.0,-19.0,22.0,-46.0,-17.0,8.0
2020-06-29,262.0,3728.0,219.0,0.0,0.0,0.0,0.0,69.0,724.0,54228.0,-45.0,-14.0,22.0,-50.0,-49.0,17.0
2020-06-30,279.0,3361.0,294.0,0.0,0.0,0.0,0.0,81.0,623.0,72052.0,-45.0,-12.0,34.0,-50.0,-48.0,17.0
2020-07-01,259.0,3176.0,270.0,0.0,0.0,0.0,0.0,54.0,652.0,77237.0,-47.0,-13.0,34.0,-49.0,-48.0,17.0
2020-07-02,239.0,3058.0,214.0,0.0,0.0,0.0,0.0,61.0,606.0,76494.0,-47.0,-11.0,39.0,-49.0,-48.0,17.0
2020-07-03,231.0,2924.0,213.0,0.0,0.0,0.0,0.0,48.0,568.0,84706.0,-49.0,-12.0,20.0,-49.0,-47.0,18.0
2020-07-04,221.0,2782.0,199.0,0.0,0.0,0.0,0.0,52.0,399.0,67361.0,-51.0,-15.0,13.0,-41.0,-18.0,8.0
2020-07-05,217.0,2721.0,195.0,0.0,0.0,0.0,0.0,52.0,558.0,51543.0,-48.0,-18.0,53.0,-37.0,-14.0,6.0
2020-07-06,209.0,2678.0,202.0,0.0,0.0,0.0,0.0,54.0,714.0,56222.0,-36.0,-11.0,76.0,-43.0,-48.0,14.0
2020-07-07,197.0,2576.0,214.0,0.0,0.0,0.0,0.0,43.0,609.0,79427.0,-40.0,-12.0,52.0,-45.0,-48.0,16.0
2020-07-08,185.0,2432.0,205.0,0.0,0.0,0.0,0.0,47.0,713.0,88931.0,-42.0,-14.0,29.0,-47.0,-47.0,16.0
2020-07-09,188.0,2323.0,211.0,0.0,0.0,0.0,0.0,61.0,722.0,96969.0,-42.0,-12.0,38.0,-46.0,-47.0,16.0
