,true_value,predicted_value
2020-07-19,24.0,75.55378
2020-07-22,34.0,74.68894
2020-07-25,23.0,70.39395
2020-07-28,26.0,63.27464
2020-07-31,31.0,50.818108
2020-08-03,23.0,50.346317
2020-08-06,21.0,42.617115
2020-08-09,19.0,37.354965
2020-08-12,24.0,49.547264
2020-08-15,23.0,42.06315
2020-08-18,15.0,41.02598
2020-08-21,10.0,52.602318
2020-08-24,9.0,37.51307
2020-08-27,12.0,57.74212
2020-08-30,11.0,50.646877
2020-09-02,15.0,26.216295
2020-09-05,14.0,21.10362
2020-09-08,16.0,24.564968
2020-09-11,19.0,32.459667
2020-09-14,21.0,43.123302
2020-09-17,38.0,24.097195
2020-09-20,40.0,32.708477
2020-09-23,58.0,16.522697
2020-09-26,47.0,22.55044
2020-09-29,48.0,26.131174
2020-10-02,74.0,42.27196
2020-10-05,68.0,61.529297
2020-10-08,97.0,51.271336
2020-10-11,128.0,78.01601
2020-10-14,122.0,90.8397
2020-10-17,186.0,135.61868
2020-10-20,210.0,145.27666
2020-10-23,225.0,145.84808
2020-10-26,282.0,180.37141
2020-10-29,320.0,143.94577
2020-11-01,359.0,170.53789
2020-11-04,340.0,162.05101
2020-11-07,417.0,160.76591
2020-11-10,410.0,166.06595
2020-11-13,450.0,210.65388
2020-11-16,431.0,230.22212
2020-11-19,485.0,245.63144
2020-11-22,512.0,302.46542
2020-11-25,499.0,336.6256
2020-11-28,484.0,377.35745
2020-12-01,422.0,399.52087
2020-12-04,498.0,413.19754
2020-12-07,466.0,410.57468
2020-12-10,496.0,444.77023
2020-12-13,480.0,465.45496
2020-12-16,484.0,474.64108
2020-12-19,548.0,439.18314
2020-12-22,628.0,471.64294
2020-12-25,655.0,450.88266
2020-12-28,722.0,455.66714
2020-12-31,822.0,453.29037
2021-01-03,806.0,464.6642
2021-01-06,1013.0,442.57327
2021-01-09,1091.0,511.95325
2021-01-12,1318.0,540.6568
2021-01-15,1322.0,563.7325
2021-01-18,1398.0,592.2708
2021-01-21,1347.0,678.4598
2021-01-24,1239.0,741.5416
2021-01-27,1232.0,859.8091
2021-01-30,1025.0,928.0069
2021-02-02,962.0,1146.1233
2021-02-05,869.0,1116.3658
2021-02-08,779.0,950.0163
2021-02-11,675.0,815.44794
2021-02-14,602.0,858.70575
2021-02-17,504.0,783.76385
2021-02-20,452.0,656.4034
2021-02-23,379.0,516.0591
2021-02-26,303.0,463.01514
2021-03-01,296.0,441.74768
2021-03-04,234.0,343.96503
2021-03-07,197.0,368.4206
2021-03-10,161.0,269.7997
2021-03-13,135.0,279.6187
2021-03-16,114.0,239.94992
2021-03-19,104.0,173.87497
2021-03-22,107.0,109.78097
2021-03-25,79.0,110.81296
2021-03-28,50.0,67.098946
2021-03-31,73.0,122.326126
2021-04-03,42.0,52.7887
2021-04-06,45.0,58.521904
2021-04-09,38.0,43.399868
2021-04-12,38.0,71.09687
2021-04-15,43.0,43.001823
2021-04-18,31.0,41.899506
2021-04-21,36.0,46.874954
2021-04-24,24.0,28.448612
2021-04-27,25.0,48.979965
2021-04-30,16.0,40.63682
2021-05-03,17.0,27.557423
2021-05-06,17.0,31.642542
2021-05-09,11.0,42.40042
2021-05-12,15.0,48.23691
2021-05-15,15.0,22.497469
2021-05-18,11.0,37.027775
2021-05-21,18.0,27.352547
2021-05-24,16.0,31.501375
2021-05-27,8.0,35.137497
2021-05-30,9.0,59.315784
2021-06-02,12.0,31.852787
2021-06-05,7.0,42.664585
2021-06-08,15.0,17.213787
2021-06-11,13.0,44.778885
2021-06-14,13.0,27.224237
2021-06-17,9.0,21.464586
2021-06-20,22.0,35.65811
2021-06-23,9.0,23.753199
2021-06-26,17.0,61.728714
2021-06-29,24.0,39.50681
2021-07-02,31.0,47.898594
2021-07-05,27.0,109.74051
2021-07-08,42.0,90.66618
2021-07-11,35.0,108.47409
2021-07-14,47.0,115.853455
2021-07-17,59.0,101.00542
2021-07-20,68.0,129.29884
2021-07-23,83.0,168.94286
2021-07-26,79.0,158.41685
2021-07-29,88.0,180.99834
2021-08-01,97.0,118.148125
2021-08-04,92.0,111.23785
2021-08-07,106.0,155.7805
2021-08-10,85.0,123.51084
2021-08-13,98.0,111.95374
2021-08-16,89.0,142.91507
2021-08-19,115.0,99.715416
2021-08-22,128.0,166.98486
2021-08-25,106.0,147.48134
2021-08-28,134.0,179.04442
2021-08-31,128.0,166.07997
2021-09-03,151.0,172.77414
2021-09-06,157.0,161.179
2021-09-09,180.0,223.97418
2021-09-12,141.0,193.0777
2021-09-15,168.0,109.89163
2021-09-18,137.0,124.09794
2021-09-21,139.0,112.98865
2021-09-24,139.0,131.6517
2021-09-27,127.0,141.95798
2021-09-30,129.0,100.208496
2021-10-03,106.0,127.4426
2021-10-06,114.0,141.98224
2021-10-09,121.0,142.68732
2021-10-12,136.0,151.27641
2021-10-15,140.0,144.89566
2021-10-18,139.0,146.30634
2021-10-21,164.0,174.0163
2021-10-24,167.0,136.97285
2021-10-27,177.0,186.18472
2021-10-30,165.0,190.50342
2021-11-02,165.0,187.69835
2021-11-05,166.0,264.2883
2021-11-08,161.0,149.50694
2021-11-11,158.0,209.66005
2021-11-14,134.0,143.34778
2021-11-17,127.0,208.72797
2021-11-20,143.0,210.48329
2021-11-23,149.0,168.95396
2021-11-26,132.0,197.61015
2021-11-29,144.0,154.42007
2021-12-02,123.0,151.89235
2021-12-05,117.0,150.32498
2021-12-08,133.0,181.61063
2021-12-11,109.0,182.64023
2021-12-14,150.0,156.33034
2021-12-17,131.0,145.41113
2021-12-20,134.0,142.50238
2021-12-23,135.0,220.6228
2021-12-26,116.0,302.66248
2021-12-29,132.0,397.63074
2022-01-01,176.0,480.12894
2022-01-04,204.0,577.9537
2022-01-07,228.0,662.7303
2022-01-10,244.0,615.288
2022-01-13,243.0,634.2058
2022-01-16,256.0,621.97614
2022-01-19,221.0,568.4623
2022-01-22,224.0,523.8676
2022-01-25,193.0,456.11252
2022-01-28,202.0,373.87543
2022-01-31,207.0,214.45528
2022-02-03,191.0,267.80914
2022-02-06,158.0,348.87982
2022-02-09,144.0,400.9217
2022-02-12,144.0,301.78464
2022-02-15,133.0,245.34406
2022-02-18,128.0,308.5541
2022-02-21,110.0,271.4324
2022-02-24,127.0,77.50081
2022-02-27,119.0,180.47437
2022-03-02,146.0,151.66368
2022-03-05,101.0,243.50394
2022-03-08,119.0,174.49521
2022-03-11,120.0,190.34818
2022-03-14,141.0,177.56847
2022-03-17,136.0,175.48068
2022-03-20,175.0,225.73994
2022-03-23,158.0,245.26141
2022-03-26,162.0,284.2298
2022-03-29,196.0,250.81477
